XAxis,YAxis
55.8348785,37.63131165217391
55.83484822249752,37.63131967391305
55.834817944995045,37.63136513043479
55.83480495594648,37.631418608695654
55.83480310901883,37.63147208695652
55.83481715777998,37.63155230434783
55.8348259382557,37.63157904347826
55.834850493310206,37.631632521739135
55.83486336124876,37.63165926086957
55.8348785,37.631686
55.83489363875124,37.631712739130435
55.83490877750248,37.63173947826087
55.8349310617443,37.63179295652174
55.83493984222002,37.631819695652176
55.83495389098117,37.63189991304348
55.834952044053516,37.63195339130435
55.8348785,37.63206034782609
55.83529939314682,37.63355535710107
55.83481715777998,37.631819695652176
55.8348785,37.631686
55.83489363875124,37.63165926086957
55.83490650668979,37.631632521739135
55.83493984222002,37.63155230434783
55.83495389098117,37.63147208695652
55.834952044053516,37.631418608695654
55.83493905500495,37.63136513043479
55.83490877750248,37.63131967391305
55.8348785,37.63131165217391
